Actual Time	Age	Community Building	Community Membership_Family	Community Membership_Hobbies	Community Membership_None	Community Membership_Other	Community Membership_Political	Community Membership_Professional	Community Membership_Religious	Community Membership_Support	Country	Disability_Cognitive	Disability_Hearing	Disability_Motor	Disability_Not Impaired	Disability_Not Say	Disability_Vision	Education Attainment	Falsification of Information	Gender	Household Income	How You Heard About Survey_Banner	How You Heard About Survey_Friend	How You Heard About Survey_Mailing List	How You Heard About Survey_Others	How You Heard About Survey_Printed Media	How You Heard About Survey_Remebered	How You Heard About Survey_Search Engine	How You Heard About Survey_Usenet News	How You Heard About Survey_WWW Page	Major Geographical Location	Major Occupation	Marital Status	Most Import Issue Facing the Internet	Opinions on Censorship	Primary Computing Platform	Primary Language	Primary Place of WWW Access	Race	Not Purchasing_Bad experience	Not Purchasing_Bad press	Not Purchasing_Cant find	Not Purchasing_Company policy	Not Purchasing_Easier locally	Not Purchasing_Enough info	Not Purchasing_Judge quality	Not Purchasing_Never tried	Not Purchasing_No credit	Not Purchasing_Not applicable	Not Purchasing_Not option	Not Purchasing_Other	Not Purchasing_Prefer people	Not Purchasing_Privacy	Not Purchasing_Receipt	Not Purchasing_Security	Not Purchasing_Too complicated	Not Purchasing_Uncomfortable	Not Purchasing_Unfamiliar vendor	Registered to Vote	Sexual Preference	Web Ordering	Web Page Creation	Who Pays for Access_Don't Know	Who Pays for Access_Other	Who Pays for Access_Parents	Who Pays for Access_School	Who Pays for Access_Self	Who Pays for Access_Work	Willingness to Pay Fees	Years on Internet	who
Other	55	More	1	0	0	0	1	1	0	1	Colorado	0	0	0	1	0	0	Masters	Never	Male	Not Say	0	0	0	0	0	1	0	0	0	USA	Computer	Married	Taxes	3	OS2	English	Home	White	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Payment mechanism	1-3 yr	id96526
Service Industry Occupation	24	Equally	0	0	1	0	0	0	0	0	Other	0	0	0	1	0	0	Some College	Under 25	Female	Under $10	0	0	0	0	0	0	1	0	0	Central America	Other	Single	Privacy	1	Dont Know	English	School	White	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	Yes	Heterosexual	No	No	0	0	0	1	0	0	Cost too high	Under 6 mo	id90587
College Student	22	More	1	0	0	0	0	0	0	0	Ontario	0	0	0	1	0	0	High School	Over 75	Male	Under $10	0	0	0	0	0	0	0	0	1	Canada	Education	Single	Navigation	1	Win95	English	Home	Asian	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Dont trust	1-3 yr	id94055
Mircocomputer	38	Equally	0	1	0	0	0	0	0	0	Colorado	0	0	0	1	0	0	College	Under 25	Female	$50-74	0	0	0	0	0	0	0	0	1	USA	Computer	Single	Navigation	2	NT	English	Primarily work	White	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Other sources	1-3 yr	id94141
Looking	34	More	0	0	0	0	0	0	0	1	Virginia	0	0	0	1	0	0	Special	Never	Male	$20-29	0	0	0	0	0	0	0	0	1	USA	Other	Other	Censorship	4		English	Home	White	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Yes	Gay male	Yes	Yes	0	0	0	0	1	0	Already paying	6-12 mo	id98358
College Student	21	Equally	1	0	0	1	0	0	0	0	Florida	0	0	0	1	0	0	Some College	Under 25	Female	Over $100	0	0	0	1	0	0	0	0	0	USA	Education	Single	Dont Know	4	Win95	English	Primarily home	White	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	1	0	0	0	Already paying	4-6 yr	id97824
College Student	19	Equally	0	1	0	0	0	0	0	0	United Kingdom	0	0	0	1	0	0	Some College	Under 25	Male	Under $10	0	0	0	0	0	0	0	0	1	Europe	Education	Single	Censorship	4	Win95	English	Work	White	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	No	Yes	0	1	0	0	0	0	Other sources	6-12 mo	id98051
Engineer	30	Dont Know	0	0	0	0	1	1	0	0	Arkansas	0	0	0	1	0	0	Masters	Not Say	Male	$30-39	0	0	0	0	0	0	0	0	1	USA	Professional	Single	Privacy	1	NT	English	Primarily work	Not Say	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Other sources	Over 7 yr	id95411
Other	47	More	1	1	0	1	0	1	0	0	North Carolina	0	0	0	1	0	0	College	Never	Female	$30-39	0	0	0	0	0	0	0	1	0	USA	Professional	Divorced	Navigation	4	Win95	English	Primarily home	White	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	Yes	Heterosexual	No	Yes	0	0	0	0	0	1	Already paying	1-3 yr	id96033
College Student	22	More	0	1	0	0	0	0	0	0	Pennsylvania	0	0	0	1	0	0	Some College	Never	Female	$50-74	0	0	0	0	0	0	0	0	1	USA	Education	Single	Privacy	3	Win95	English	Primarily home	White	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	No	Heterosexual	No	No	0	0	1	0	0	0	Already paying	Under 6 mo	id98647
Consultant	40	Equally	0	0	1	0	0	0	0	0	Ohio	0	0	0	1	0	0	College	Never	Male	Not Say	0	0	1	0	0	0	0	0	0	USA	Professional	Divorced	Censorship	1	Win95	English	Primarily work	White	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	Yes	Heterosexual	Yes	No	0	0	0	0	0	1	Other sources	1-3 yr	id99793
Other	32	More	0	1	0	1	0	1	0	0	Kentucky	0	0	0	1	0	0	Masters	Never	Male	Over $100	0	0	0	0	0	0	1	0	0	USA	Management	Single	Censorship	1	Win95	English	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	1-3 yr	id96370
College Student	18	Dont Know	0	0	1	0	0	0	0	0	Wisconsin	0	0	0	0	1	0	Some College	Never	Female	$30-39	1	0	0	0	0	0	0	0	1	USA	Education	Single	Other	3	Macintosh	English	Primarily home	White	0	0	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	No	Heterosexual	No	No	0	0	0	1	0	0	Other	Under 6 mo	id92854
Other	24	More	1	0	0	0	0	1	0	0	Virginia	0	0	0	1	0	0	College	Never	Female	$30-39	0	1	0	0	0	0	0	0	0	USA	Computer	Married	Taxes	1	Win95	English	Primarily work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Poor quality	1-3 yr	id77948
College Student	21	More	0	1	0	0	0	0	0	0	Wisconsin	0	0	0	1	0	0	Some College	Never	Male	$50-74	0	1	0	0	0	0	0	0	0	USA	Education	Single	Privacy	1	Win95	English	School	White	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	Yes	Heterosexual	No	Yes	0	0	0	0	1	0	Already paying	1-3 yr	id97715
Other	25	More	1	1	0	0	0	1	0	0	Kansas	0	0	0	1	0	0	Some College	Never	Male	$10-19	0	0	0	0	0	0	0	0	1	USA	Management	Separated	Dont Know	2	Win95	English	Home	White	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	No	Heterosexual	Yes	No	0	0	0	0	1	0	Other sources	Under 6 mo	id97693
Other	55	Equally	0	1	0	1	1	1	1	0	Georgia	0	0	0	1	0	0	College	Never	Male	Under $10	0	0	0	1	0	0	0	0	0	USA	Professional	Married	Navigation	1	Win95	English	Home	White	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Cost too high	1-3 yr	id94726
Other	45	Dont Know	1	0	0	0	0	0	0	0	Virginia	0	0	0	1	0	0	College	Never	Female	Not Say	0	0	0	0	0	0	0	0	1	USA	Other	Married	Don't Know	3	Win95	English	Home	White	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other sources	1-3 yr	id96511
Homemaker	41	Equally	1	1	0	0	0	0	1	0	Oregon	0	0	0	1	0	0	Some College	Never	Female	$20-29	0	0	0	0	1	0	0	0	0	USA	Other	Other	Censorship	3	Win95	English	Home	White	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Payment mechanism	Under 6 mo	id93474
College Student	21	Equally	0	0	1	0	0	0	0	0	New York	0	0	0	0	0	1	Some College	26-50	Female	Not Say	0	0	0	1	0	0	0	0	0	USA	Education	Single	Navigation	3	Win95	English	School	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Not Applicable	Heterosexual	No	No	0	0	0	1	0	0	Already paying	1-3 yr	id98300
Consultant	54	More	0	0	0	0	0	1	0	0	Georgia	0	0	0	1	0	0	College	Never	Female	$75-99	1	0	0	0	0	0	0	0	0	USA	Professional	Divorced	Censorship	2	Win95	English	Primarily home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	6-12 mo	id37116
Service Industry Occupation	25	More	1	1	0	1	0	0	0	1	New York	0	0	0	1	0	0	High School	Under 25	Male	$30-39	0	0	0	0	0	0	0	0	1	USA	Other	Married	Censorship	1		English	Home	White	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	Yes	Bisexual	No	Yes	0	0	0	0	1	0	Other sources	6-12 mo	id95698
Other	44	More	0	0	0	0	0	1	0	0	Belgium	0	0	0	1	0	0	Doctoral	Under 25	Female	Not Say	0	0	0	0	0	0	1	0	0	Europe	Education	Married	Navigation	1	Macintosh	Dutch	Work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Not say	No	No	0	0	0	0	0	1	Other	6-12 mo	id96579
Retired	58	Equally	0	1	0	0	0	1	0	0	Arizona	0	0	0	1	0	0	High School	Never	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Other	Married	Censorship	1		English	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	Under 6 mo	id98446
Retired	71	Dont Know	0	0	0	1	0	0	0	0	North Carolina	0	0	0	0	0	1	Masters	Never	Male	$30-39	0	0	0	0	0	0	0	0	1	USA	Other	Married	Don't Know	1	Macintosh	English	Home	White	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	1-3 yr	id96031
Civil Servant	40	Dont Know	0	0	1	0	0	0	0	0	Texas	0	0	0	1	0	0	Some College	Not Say	Male	Not Say	0	0	0	0	1	0	0	1	0	USA	Other	Married	Don't Know	4		English	Home	White	0	1	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	Yes	Heterosexual	No	Yes	0	0	0	0	1	0	Other sources	6-12 mo	id99409
College Student	18	Equally	0	0	1	0	0	0	0	0	New York	0	0	0	1	0	0	Some College	Under 25	Female	$75-99	0	0	0	0	0	0	0	0	1	USA	Education	Single	Culture	1	Macintosh	English	Primarily home	White	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	No	Heterosexual	No	No	0	0	0	1	0	0	Other sources	4-6 yr	id90590
Artist/Musician	47	Dont Know	0	0	0	1	0	0	0	0	Oregon	0	0	0	1	0	0	High School	Never	Male	$20-29	0	0	0	0	0	0	0	0	1	USA	Other	Single	Don't Know	2		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	Under 6 mo	id46303
Other	54	Dont Know	0	0	1	0	0	0	0	0	Massachusetts	0	0	0	1	0	0	Special	Never	Male	$40-49	0	0	0	0	0	0	0	0	1	USA	Other	Married	Privacy	1		English	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	6-12 mo	id94974
Other	67	Dont Know	0	0	1	0	0	0	0	0	Oregon	0	0	0	1	0	0	College	Never	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Professional	Married	Privacy	4		English	Home	White	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	Under 6 mo	id97266
Other	44	Dont Know	0	0	1	0	0	0	0	0	Michigan	0	0	0	1	0	0	Some College	26-50	Female	$20-29	0	0	0	0	0	0	0	0	1	USA	Other	Divorced	Navigation	1		English	Home	White	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Other sources	Under 6 mo	id90593
Retired	76	Equally	1	0	0	0	0	0	0	0	New Hampshire	0	0	0	1	0	0	High School	Never	Male	Not Say	1	0	0	0	0	0	0	0	0	USA	Other	Married	Dont Know	1		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	Under 6 mo	id99403
College Student	22	Dont Know	0	1	0	0	0	0	0	0	Northwest Territories	0	0	0	1	0	0	Some College	Never	Male	Under $10	0	0	0	0	0	0	0	0	1	Canada	Education	Single	Navigation	1	Win95	English	Primarily home	White	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Cost too high	4-6 yr	id93826
College Student	19	More	1	1	0	0	0	0	0	0	California	0	0	0	1	0	0	Some College	Never	Male	Not Say	1	0	0	0	0	0	1	0	1	USA	Education	Single	Privacy	1	Win95	English	Primarily home	White	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	Yes	Not say	No	Yes	0	0	1	0	0	0	Dont trust	Over 7 yr	id95363
College Student	22	More	0	1	0	0	0	1	0	0	Ohio	0	0	0	1	0	0	Some College	Over 75	Male	$10-19	0	0	0	0	0	0	1	0	1	USA	Education	Single	Privacy	4	Win95	English	Primarily home	White	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other sources	1-3 yr	id95281
Other	34	Dont Know	1	0	0	0	0	1	0	0	United Kingdom	0	0	0	1	0	0	Other	Under 25	Male	Not Say	0	0	0	0	0	0	0	0	1	Europe	Professional	Married	Privacy	4	NT	English	Primarily home	White	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other sources	1-3 yr	id96954
Entertainment	26	Dont Know	0	1	0	0	0	0	0	0	Texas	0	0	0	1	0	0	Some College	Not Say	Male	$30-39	0	0	0	1	0	0	0	0	0	USA	Professional	Married	Don't Know	1		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	No	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	6-12 mo	id98453
College Student	27	More	0	1	0	0	0	0	0	0	Massachusetts	0	0	0	1	0	0	Masters	Under 25	Male	$10-19	0	0	0	0	0	0	0	0	1	USA	Education	Other	Censorship	2	Macintosh	English	School	White	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	No	Heterosexual	Yes	Yes	0	0	0	1	0	0	Other	4-6 yr	id95364
Retired	70	Equally	0	0	1	0	0	0	0	0	Virginia	0	0	0	1	0	0	Masters	Never	Male	$20-29	0	0	0	0	0	0	0	1	0	USA	Other	Married	Navigation	1		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Cost too high	6-12 mo	id92237
Programmer	24	More	1	1	0	0	0	1	0	0	Finland	0	0	0	1	0	0	Some College	26-50	Male	$10-19	0	0	1	0	0	0	0	0	0	Europe	Computer	Other	Navigation	2	NT	Finnish	Primarily work	White	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	1	1	1	Other sources	4-6 yr	id52377
Manager	55	Equally	0	0	1	0	0	0	0	0	Nebraska	0	0	0	1	0	0	Masters	Never	Male	Not Say	0	0	0	0	1	0	0	0	0	USA	Management	Married	Censorship	3	Win95	English	Primarily work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other sources	1-3 yr	id93391
Religious Occupation	23	Dont Know	0	0	1	0	0	0	0	0	Washington	0	0	0	1	0	0	College	Never	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Other	Single	Don't Know	3	Macintosh	English	Primarily home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	No	0	1	0	0	0	0	Already paying	1-3 yr	id98455
Artist/Musician	37	Dont Know	1	1	0	0	0	1	0	0	Georgia	0	0	0	1	0	0	Special	Under 25	Male	$50-74	0	0	0	0	0	0	0	1	1	USA	Other	Single	Navigation	4		English	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	Under 6 mo	id94038
Retired	66	More	1	1	0	0	0	0	0	0	California	0	0	0	1	0	0	Masters	Never	Male	Over $100	0	0	0	0	0	0	0	0	1	USA	Other	Married	Navigation	3	Macintosh	English	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Poor quality	1-3 yr	id96505
Other	43	Equally	0	1	0	0	0	0	0	1	California	0	0	0	1	0	0	High School	Never	Female	Not Say	0	0	0	1	1	0	0	0	0	USA	Other	Married	Navigation	3		English	Home	White	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	6-12 mo	id90597
Manager	35	Dont Know	1	0	0	0	0	0	0	0	Minnesota	0	0	0	1	0	0	College	51-75	Male	$75-99	0	0	0	1	0	0	0	0	0	USA	Management	Married	Privacy	2	Win95	English	Primarily home	White	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Other sources	1-3 yr	id87355
Administrator/Secretary	23	More	0	1	0	0	0	0	0	0	United Kingdom	0	0	0	1	0	0	College	Never	Female	$10-19	0	1	0	0	0	0	0	0	0	Europe	Other	Single	Dont Know	3	Win95	English	Home	White	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	1-3 yr	id98460
Other	35	More	1	1	0	0	0	0	0	0	New Jersey	0	0	0	1	0	0	Some College	Never	Male	$75-99	0	0	0	0	1	0	0	0	0	USA	Professional	Divorced	Privacy	2	Macintosh	English	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other sources	Over 7 yr	id95856
Homemaker	43	More	1	1	0	0	0	1	0	1	Georgia	0	0	0	1	0	0	College	Never	Female	Over $100	0	1	0	0	0	0	0	0	0	USA	Other	Married	Privacy	4	Win95	English	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other sources	1-3 yr	id99545
Other	28	More	0	0	0	0	0	1	0	0	Illinois	0	0	0	1	0	0	College	Never	Male	$50-74	0	0	0	1	0	0	0	0	0	USA	Computer	Married	Navigation	2	Macintosh	English	Primarily work	White	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other sources	4-6 yr	id93355
College Student	48	More	0	0	0	1	0	1	0	0	New Brunswick	0	0	0	1	0	0	Doctoral	Under 25	Male	$50-74	0	0	0	0	0	0	0	0	1	Canada	Education	Married	Other	1	Win95	English	Primarily work	White	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Cost too high	1-3 yr	id99617
Other	40	More	0	1	0	0	0	1	0	0	Mississippi	0	0	0	1	0	0	College	Never	Female	$40-49	0	0	0	0	0	0	0	0	1	USA	Professional	Married	Dont Know	3	Windows	English	Primarily home	White	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other sources	1-3 yr	id94041
Programmer	45	Equally	0	0	1	0	0	0	0	0	Maryland	0	0	0	1	0	0	College	Never	Male	$75-99	0	0	0	0	0	0	0	0	1	USA	Computer	Married	Privacy	1	Win95	English	Primarily home	White	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Cost too high	4-6 yr	id91763
Homemaker	49	Equally	1	0	0	0	0	0	0	0	New Jersey	0	0	0	1	0	0	High School	Never	Female	Over $100	0	0	0	0	0	0	0	1	0	USA	Other	Married	Navigation	1		English	Home	White	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	6-12 mo	id93392
CEO	32	More	1	1	0	1	0	1	0	0	Italy	0	0	0	1	0	0	Professional	Never	Male	$30-39	0	0	1	1	0	0	0	0	0	Europe	Management	Single	Taxes	4	Win95	Italian	Primarily work	White	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	Yes	Transgender	Yes	Yes	0	0	0	0	0	1	Other sources	1-3 yr	id95280
Self Employed	52	More	0	0	0	0	1	1	0	0	Alabama	0	0	0	1	0	0	College	NA	Male	$75-99	0	0	0	1	0	0	0	0	0	USA	Management	Married	Taxes	1	Win95	English	Primarily work	White	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	6-12 mo	id98546
College Student	23	Dont Know	0	0	1	0	0	0	0	0	Wisconsin	0	0	0	1	0	0	Some College	Under 25	Male	$50-74	0	0	0	1	0	0	0	0	0	USA	Education	Single	Privacy	4	Win95	English	Primarily work	White	0	1	0	1	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	Yes	Heterosexual	Yes	Yes	0	1	0	1	1	1	Other sources	4-6 yr	id94698
Retired	44	Equally	0	0	1	0	0	0	0	0	Texas	0	0	0	0	0	1	Some College	Never	Female	$50-74	0	0	0	0	0	0	0	0	1	USA	Other	Married	Privacy	4	Win95	English	Home	White	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	Under 6 mo	id94046
Other	47	Dont Know	0	0	1	0	0	0	0	0	California	0	0	0	1	0	0	College	Under 25	Male	$20-29	0	0	0	0	0	0	0	0	1	USA	Other	Married	Censorship	1	Macintosh	EnglishSPANISH	Home	Hispanic	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Other	Under 6 mo	id92007
Other	26	More	0	1	0	1	1	1	0	0	Virginia	0	0	0	1	0	0	College	Under 25	Male	$10-19	0	0	0	1	0	0	0	0	0	USA	Education	Single	Censorship	2	Macintosh	English	Primarily home	White	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	1	0	0	Other sources	1-3 yr	id91438
Other	49	More	1	1	0	0	1	1	0	0	New York	0	0	0	1	0	0	Masters	Never	Male	$75-99	0	0	0	0	0	0	0	0	1	USA	Computer	Widowed	Privacy	1	Win95	English	Primarily home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other sources	4-6 yr	id94814
Marketing Professional	25	Equally	1	0	0	0	0	1	0	0	California	0	0	0	1	0	0	College	Never	Female	$75-99	0	0	0	0	0	0	0	0	1	USA	Professional	Married	Privacy	1	Win95	English	Primarily work	Asian	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Other sources	4-6 yr	id97020
Other	22	Equally	1	1	0	0	0	1	0	0	Maryland	0	0	0	1	0	0	Some College	Under 25	Male	$30-39	0	1	0	0	0	0	0	0	0	USA	Computer	Married	Censorship	1	Macintosh	English	Primarily home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Poor quality	4-6 yr	id97066
Service Industry Occupation	31	More	0	1	0	1	0	1	0	0	Greece	0	0	0	1	0	0	College	Never	Male	Not Say	0	1	1	0	0	0	0	0	1	Europe	Other	Divorced	Other	1	Win95	Greek	Home	White	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Yes	Heterosexual	No	Yes	0	0	0	0	1	0	Already paying	1-3 yr	id91437
Other	29	Dont Know	0	1	0	0	0	0	0	0	California	0	0	0	1	0	0	College	51-75	Male	Over $100	0	0	0	1	0	0	0	0	0	USA	Computer	Other	Privacy	1	Macintosh	English	Primarily home	White	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	1-3 yr	id94047
Marketing Professional	23	Dont Know	0	0	1	0	0	0	0	0	Australia	0	0	0	1	0	0	College	NA	Female	$20-29	0	0	0	0	0	0	0	0	1	Oceania	Professional	Other	Privacy	1	Win95	English	Work	Indigenous	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Yes	Not say	No	No	0	0	0	0	0	1	Already paying	Under 6 mo	id95316
Salesperson	48	More	1	0	0	0	0	0	0	0	Alabama	0	0	0	1	0	0	Some College	Never	Male	$50-74	1	0	0	0	0	0	0	0	0	USA	Professional	Other	Navigation	1		English	Primarily home	White	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	Under 6 mo	id91038
College Student	22	More	1	0	0	0	0	1	0	0	Other	0	0	0	1	0	0	College	Never	Female	Under $10	0	1	0	0	0	0	0	0	0	Asia	Education	Single	Navigation	1	Win95	Turkish	Primarily work	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	4-6 yr	id98465
Self Employed	52	More	0	1	0	0	0	0	0	0	Washington	0	0	0	1	0	0	Some College	NA	Male	Not Say	0	0	0	0	0	0	0	1	0	USA	Management	Married	Privacy	1	Win95	English	Home	White	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other sources	1-3 yr	id98871
Consultant	40	Less	0	0	1	0	0	0	0	0	Massachusetts	0	0	0	1	0	0	Masters	Under 25	Male	$50-74	0	0	1	0	0	0	0	0	0	USA	Professional	Married	Navigation	1	Win95	English	Primarily work	White	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	0	1	Other sources	1-3 yr	id97397
